id,instance_id,user_id,status,waitlist,created_at,updated_at,sync_completed_on,async_completed_on,waitlisted_on,enrolled_on,canceled_on,absent_on,async_active_on
4372,233,1287,enroll,,2023-04-07 12:52:43.856179,2023-04-07 12:52:43.856179,,,,,,,
4373,232,1019,enroll,,2023-04-07 13:04:58.452707,2023-04-07 13:04:58.452707,,,,,,,
4374,231,1019,cancel,,2023-04-07 13:07:10.036093,2023-04-11 17:38:50.020152,,,,,,,
4375,233,1288,enroll,,2023-04-07 13:11:20.317212,2023-04-07 13:11:20.317212,,,,,,,
4376,233,1289,enroll,,2023-04-07 13:19:49.488369,2023-04-07 13:19:49.488369,,,,,,,
4377,233,1290,enroll,,2023-04-07 13:23:33.722973,2023-04-07 13:23:33.722973,,,,,,,
4378,233,1079,enroll,,2023-04-07 13:24:38.912254,2023-04-07 13:24:38.912254,,,,,,,
4379,233,87,enroll,,2023-04-07 13:26:14.959339,2023-04-07 13:26:14.959339,,,,,,,
4380,233,922,enroll,,2023-04-07 13:27:42.463450,2023-04-07 13:27:42.463450,,,,,,,
4381,233,1258,enroll,,2023-04-07 13:27:52.049088,2023-04-07 13:27:52.049088,,,,,,,
4382,231,1258,enroll,,2023-04-07 13:29:12.840651,2023-04-07 13:29:12.840651,,,,,,,
4383,233,1271,enroll,,2023-04-07 13:29:19.369531,2023-04-13 23:08:44.194355,,,,,,,
4384,231,922,enroll,,2023-04-07 13:30:35.248754,2023-04-07 13:30:35.248754,,,,,,,
4385,233,679,waitlist,1,2023-04-07 13:31:46.394307,2023-04-13 23:08:44.222854,,,,,,,
4386,231,1249,enroll,,2023-04-07 13:36:52.896082,2023-04-07 13:36:52.896082,,,,,,,
4387,233,1262,waitlist,2,2023-04-07 13:47:45.902791,2023-04-13 23:08:44.231825,,,,,,,
4388,231,1262,enroll,,2023-04-07 13:48:38.046774,2023-04-07 13:48:38.046774,,,,,,,
